date,close,predict,prob_up,real,correct,ret,equity,idx
2025-02-18,25.72,跌↓,42.7,涨↑,✗,+3.81%,0.7338,562
2025-02-19,26.7,跌↓,34.1,跌↓,✓,-0.15%,0.7338,563
2025-02-20,26.66,跌↓,35.4,涨↑,✗,+1.65%,0.7338,564
2025-02-21,27.1,跌↓,40.5,涨↑,✗,+0.15%,0.7338,565
2025-02-24,27.14,跌↓,38.2,跌↓,✓,-0.44%,0.7338,566
2025-02-25,27.02,跌↓,41.7,涨↑,✗,+0.22%,0.7338,567
2025-02-26,27.08,跌↓,40.3,跌↓,✓,-0.81%,0.7338,568
2025-02-27,26.86,跌↓,43.0,跌↓,✓,-5.03%,0.7338,569
2025-02-28,25.51,跌↓,42.2,涨↑,✗,+0.35%,0.7338,570
2025-03-03,25.6,跌↓,43.6,涨↑,✗,+3.36%,0.7338,571
2025-03-04,26.46,跌↓,40.4,跌↓,✓,-0.83%,0.7338,572
2025-03-05,26.24,跌↓,34.6,涨↑,✗,+1.64%,0.7338,573
2025-03-06,26.67,跌↓,36.2,跌↓,✓,-2.44%,0.7338,574
2025-03-07,26.02,跌↓,46.7,跌↓,✓,-1.00%,0.7338,575
2025-03-10,25.76,跌↓,47.5,跌↓,✓,-0.12%,0.7338,576
2025-03-11,25.73,跌↓,46.7,涨↑,✗,+0.86%,0.7338,577
2025-03-12,25.95,跌↓,43.6,跌↓,✓,-2.66%,0.7338,578
2025-03-13,25.26,涨↑,54.1,涨↑,✓,+1.62%,0.7457,579
2025-02-14,26.79,跌↓,50.4,跌↓,✓,-0.52%,0.7457,560
2025-02-17,26.65,跌↓,44.4,跌↓,✓,-3.49%,0.7457,561
2025-02-18,25.72,跌↓,47.0,涨↑,✗,+3.81%,0.7457,562
2025-02-19,26.7,跌↓,37.7,跌↓,✓,-0.15%,0.7457,563
2025-02-20,26.66,跌↓,39.0,涨↑,✗,+1.65%,0.7457,564
2025-02-21,27.1,跌↓,40.5,涨↑,✗,+0.15%,0.7457,565
2025-02-24,27.14,跌↓,40.8,跌↓,✓,-0.44%,0.7457,566
2025-02-25,27.02,跌↓,46.0,涨↑,✗,+0.22%,0.7457,567
2025-02-26,27.08,跌↓,41.1,跌↓,✓,-0.81%,0.7457,568
2025-02-27,26.86,跌↓,41.1,跌↓,✓,-5.03%,0.7457,569
2025-02-28,25.51,跌↓,41.2,涨↑,✗,+0.35%,0.7457,570
2025-03-03,25.6,跌↓,45.8,涨↑,✗,+3.36%,0.7457,571
2025-03-04,26.46,跌↓,41.8,跌↓,✓,-0.83%,0.7457,572
2025-03-05,26.24,跌↓,32.6,涨↑,✗,+1.64%,0.7457,573
2025-03-06,26.67,跌↓,35.0,跌↓,✓,-2.44%,0.7457,574
2025-03-07,26.02,跌↓,50.0,跌↓,✓,-1.00%,0.7457,575
2025-03-10,25.76,跌↓,48.1,跌↓,✓,-0.12%,0.7457,576
2025-03-11,25.73,跌↓,48.1,涨↑,✗,+0.86%,0.7457,577
2025-03-12,25.95,跌↓,44.2,跌↓,✓,-2.66%,0.7457,578
2025-03-13,25.26,跌↓,49.4,涨↑,✗,+1.62%,0.7457,579
2025-03-14,25.67,跌↓,47.7,跌↓,✓,-0.08%,0.7457,580
2025-03-17,25.65,涨↑,54.9,涨↑,✓,+0.58%,0.75,581
2025-03-18,25.8,跌↓,39.4,跌↓,✓,-1.47%,0.75,582
2025-03-19,25.42,跌↓,49.8,跌↓,✓,-0.79%,0.75,583
