date,close,predict,prob_up,real,correct,ret,equity
2024-09-03,1410.0,跌↓,50.7,跌↓,✓,-0.71%,0.8472
2024-09-04,1400.0,跌↓,50.9,涨↑,✗,+0.35%,0.8472
2024-09-05,1404.88,跌↓,56.0,跌↓,✓,-0.49%,0.8472
2024-09-06,1398.0,跌↓,43.4,跌↓,✓,-1.65%,0.8472
2024-09-09,1375.0,跌↓,54.2,涨↑,✗,+0.22%,0.8472
2024-09-10,1378.0,跌↓,58.6,涨↑,✗,+0.15%,0.8472
2024-09-11,1380.0,跌↓,55.6,跌↓,✓,-3.26%,0.8472
2024-09-12,1335.06,跌↓,45.5,跌↓,✓,-2.32%,0.8472
2024-09-13,1304.13,跌↓,59.3,跌↓,✓,-2.85%,0.8472
2024-09-18,1266.9,跌↓,56.2,跌↓,✓,-0.47%,0.8472
2024-09-19,1261.0,跌↓,60.3,涨↑,✗,+0.23%,0.8472
2024-09-20,1263.92,跌↓,51.1,跌↓,✓,-0.19%,0.8472
2024-09-23,1261.54,跌↓,52.5,涨↑,✗,+8.80%,0.8472
2024-09-24,1372.6,跌↓,62.4,涨↑,✗,+1.92%,0.8472
2024-08-26,1412.0,跌↓,34.7,跌↓,✓,-0.56%,0.8472
2024-08-27,1404.07,跌↓,31.1,跌↓,✓,-1.07%,0.8472
2024-08-28,1389.0,跌↓,36.0,涨↑,✗,+1.75%,0.8472
2024-08-29,1413.3,跌↓,47.6,涨↑,✗,+2.11%,0.8472
2024-08-30,1443.19,跌↓,43.4,跌↓,✓,-3.34%,0.8472
2024-09-02,1395.0,跌↓,43.2,涨↑,✗,+1.08%,0.8472
2024-09-03,1410.0,跌↓,48.3,跌↓,✓,-0.71%,0.8472
2024-09-04,1400.0,跌↓,49.1,涨↑,✗,+0.35%,0.8472
2024-09-05,1404.88,跌↓,57.3,跌↓,✓,-0.49%,0.8472
2024-09-06,1398.0,跌↓,46.5,跌↓,✓,-1.65%,0.8472
2024-09-09,1375.0,跌↓,53.3,涨↑,✗,+0.22%,0.8472
2024-09-10,1378.0,跌↓,55.0,涨↑,✗,+0.15%,0.8472
2024-09-11,1380.0,跌↓,52.4,跌↓,✓,-3.26%,0.8472
2024-09-12,1335.06,跌↓,45.1,跌↓,✓,-2.32%,0.8472
2024-09-13,1304.13,跌↓,58.3,跌↓,✓,-2.85%,0.8472
2024-09-18,1266.9,跌↓,58.4,跌↓,✓,-0.47%,0.8472
2024-09-19,1261.0,跌↓,62.0,涨↑,✗,+0.23%,0.8472
2024-09-20,1263.92,跌↓,50.3,跌↓,✓,-0.19%,0.8472
2024-09-23,1261.54,跌↓,51.5,涨↑,✗,+8.80%,0.8472
2024-09-24,1372.6,跌↓,62.6,涨↑,✗,+1.92%,0.8472
2024-09-25,1399.0,跌↓,64.6,涨↑,✗,+9.29%,0.8472
2024-09-26,1529.0,跌↓,49.9,涨↑,✗,+6.55%,0.8472
2024-09-27,1629.2,跌↓,39.6,涨↑,✗,+7.29%,0.8472
2024-09-30,1748.0,跌↓,40.2,跌↓,✓,-1.43%,0.8472
2024-10-08,1723.0,跌↓,43.4,跌↓,✓,-7.42%,0.8472
2024-10-09,1595.15,跌↓,48.2,涨↑,✗,+2.81%,0.8472
2024-10-10,1640.0,跌↓,48.8,跌↓,✓,-2.13%,0.8472
2024-10-11,1604.99,跌↓,44.5,跌↓,✓,-0.19%,0.8472
2024-10-14,1601.99,跌↓,44.7,跌↓,✓,-2.98%,0.8472
2024-10-15,1554.25,跌↓,41.4,跌↓,✓,-2.04%,0.8472
2024-09-09,1375.0,跌↓,58.1,涨↑,✗,+0.22%,0.8472
2024-09-10,1378.0,跌↓,58.7,涨↑,✗,+0.15%,0.8472
