代码,ROE,净利增长,毛利率,EPS
300565,-6.15,,,
300585,0.09,,,0.0037
300637,-1.92,,,
300077,-6.8,,,
300636,1.92,31.6235,,0.103
300590,1.97,83.0644,,0.0772
300586,1.36,-54.7612,,0.0527
300632,1.23,-22.1452,,0.0776
300701,1.32,64.1065,,0.0453
300694,1.73,124.9706,,0.1076
300777,1.43,-60.0833,,0.1347
300731,0.18,,,0.01
300817,1.27,21.2878,,0.0754
300501,1.24,-16.5526,,0.1294
300853,-3.01,-157.9468,,
300839,-15.86,-284.5602,,
300908,2.94,30.1225,,0.5087
600184,-0.37,-243.3934,,
300966,0.37,-20.762,,0.0251
300055,0.48,-15.761,,0.0306
300971,1.39,-14.6636,,0.1598
600007,3.35,5.3102,,0.3342
600201,1.92,-3.3938,,0.0951
600488,1.93,-16.3838,,0.0663
600335,1.11,26.8552,,0.0837
600396,25.48,,,0.09
600419,0.19,-99.092,,0.0016
600389,2.23,-31.2545,,0.1916
600486,4.24,-43.1093,,1.0563
600489,2.94,30.4484,,0.1968
600302,-2.17,,,
600851,0.81,28.3046,,0.0287
600682,0.74,-26.6186,,0.1235
600648,0.31,21.0049,,0.0372
600757,2.81,-32.2088,,0.2143
601233,1.61,,,0.2424
600926,4.86,21.1063,,0.8656
600875,2.37,-8.8845,,0.3161
600961,4.21,16.7392,,0.1548
601311,1.65,-6.2749,,0.1321
600998,2.19,-9.4035,,0.1387
601100,4.01,-3.792,,0.4495
601113,2.39,2615.8532,,0.072
601515,0.21,-94.1603,,0.0073
600983,0.4,-9.9203,,0.0134
601825,3.03,0.9439,,0.3769
603004,2.2,-11.1332,,0.1863
601607,2.2,-4.4788,,0.5038
601869,0.51,-84.8735,,0.0439
601665,2.7,15.4283,,0.2439
601777,0.15,,,0.0034
601921,0.82,-23.6291,,0.05
603016,1.91,6.4696,,0.1094
603052,1.8,5.2763,,0.2037
603153,0.6,-18.614,,0.0338
603081,1.16,53.4682,,0.0768
603087,0.89,95.0385,,0.1616
603085,1.12,427.7734,,0.0252
603060,-1.45,,,
603165,3.92,11.8804,,0.3276
603188,0.77,,,0.0117
603196,-1.0,-165.2203,,
603192,1.01,16.7824,,0.1062
603272,-0.56,,,
603237,-4.15,,,
603228,3.5,49.0453,,0.3768
603307,3.06,-20.7237,,0.6953
603315,0.9,34.8217,,0.0434
603327,3.07,-24.5603,,0.0933
603305,2.45,-18.5477,,0.1681
603336,0.7,-22.9935,,0.0123
603335,-3.03,,,
603350,4.46,-4.9333,,0.4131
603477,-4.69,,,
603778,-5.41,-534.7044,,
603685,0.27,282.3276,,0.0114
603353,0.56,-24.4715,,0.053
603629,2.0,138.2978,,0.1333
603456,2.73,-15.4887,,0.2626
603681,2.07,,,0.2681
603788,1.98,41.586,,0.1819
603826,1.06,45.4514,,0.0464
603906,-2.35,,,
603899,4.63,10.4158,,0.436
603799,1.5,-61.1028,,0.3451
603948,2.83,-36.1827,,0.3621
603912,0.12,-45.0192,,0.0044
603928,1.02,-20.9837,,0.0782
605166,3.94,58.1156,,0.2603
605151,1.72,-15.7547,,0.2015
603987,2.44,-35.4482,,0.1513
605369,2.68,56.0165,,0.4006
688048,-0.63,-1394.9493,,
688057,1.23,-22.0264,,0.1398
605208,0.49,,,0.031
688075,1.36,39.6129,,0.5535
605289,1.35,34.6678,,0.1511
688101,1.72,35.8122,,0.2045
688060,0.35,-22.3959,,0.0441
688108,0.3,,,0.0144
688141,-8.46,,,
688181,0.92,-0.0978,,0.1373
688182,0.68,35.219,,0.034
688163,0.14,-51.0869,,0.0136
688231,0.98,7.3572,,0.1122
688266,-2.48,,,
688308,1.15,-49.6602,,0.188
688315,1.12,17.74,,0.0691
688309,0.45,-72.1113,,0.0413
688367,0.24,917.1377,,0.016
688314,3.29,2.8431,,0.2415
688512,-3.84,,,
688401,2.83,59.4403,,0.1999
688448,0.07,,,0.0101
688331,-11.33,,,
688506,97.08,,,12.4817
688403,0.85,0.099,,0.0315
688529,0.37,-75.8997,,0.0399
688553,1.22,16.8875,,0.1059
688566,2.68,38.3054,,0.2773
688689,1.3,44.1598,,0.1322
688677,2.9,-20.3989,,0.3122
000019,1.31,-39.717,,0.0551
688521,-8.3,,,
688370,0.83,-48.7884,,0.1146
000062,0.79,-52.6754,,0.0689
000719,0.3,-65.2457,,0.0344
000586,-0.6,-131.4638,,
000155,5.33,3.4157,,0.3373
000593,1.63,648.7431,,0.0437
000762,0.81,9.2611,,0.0756
001266,-0.34,-172.3191,,
000889,-4.81,,,
000990,0.87,,,0.1462
002025,3.46,2.1838,,0.5563
001367,2.6,33.5527,,0.491
002126,3.31,50.5516,,0.2566
002135,1.33,-38.0629,,0.0754
002176,-0.8,-160.0822,,
002222,3.23,-11.4802,,0.1165
002263,-0.33,-226.8298,,
000933,5.2,-31.046,,0.5197
002181,-0.32,,,
002294,2.43,-5.0712,,0.1777
002428,-0.82,,,
002440,0.01,-61.7758,,0.006
002467,1.48,33.5601,,0.0215
002353,1.92,5.6803,,0.3744
002645,-0.76,,,
002560,0.56,-53.621,,0.0326
002636,-0.62,-213.2721,,
002663,-0.49,,,
002701,3.12,33.4816,,0.1074
002655,2.74,67.1111,,0.0508
002683,1.17,40.352,,0.1387
002729,1.23,13.0076,,0.0331
002755,1.08,,,0.0285
002718,0.15,-84.8351,,0.0111
003023,2.46,32.013,,0.3622
002840,-8.06,,,
002938,1.65,18.807,,0.2143
002821,1.6,-55.4812,,0.7566
003007,-1.67,,,
300022,0.48,26.4653,,0.028
300006,-0.22,,,
300042,-0.38,-173.971,,
300199,-1.89,-178.5644,,
300069,-1.74,,,
300183,0.23,-47.8185,,0.0155
300207,1.37,,,0.0117
300245,0.24,,,0.006
300265,0.49,-59.7391,,0.0269
300503,1.32,,,0.0479
300461,-1.86,-7089.1554,,
300476,2.7,67.7172,,0.243
300400,1.23,205.9253,,0.039
300547,3.9,96.271,,0.2038
300508,2.16,-31.6941,,0.1404
300548,0.0,-64.5748,,0.0453
300620,0.35,-58.0968,,0.026
300692,1.42,-27.1385,,0.0791
300608,-2.89,,,
300626,0.98,4605.2976,,0.0287
000848,7.39,3.0746,,0.234
300730,-4.74,,,
300834,0.75,9.2341,,0.1137
300843,1.9,9.0164,,0.1368
300845,-0.6,,,
300916,3.17,1932.6474,,0.279
300757,0.6,41.8295,,0.0519
300943,1.22,-69.8726,,0.0522
300975,1.13,2.8326,,0.0325
300970,0.11,-98.141,,0.0206
600078,-0.4,-96.2655,,0.0031
600110,-1.58,-243.2739,,
600126,0.17,2.9074,,0.0098
600066,4.51,426.1396,,0.2996
600127,0.28,-83.57,,0.0026
600212,-1.41,,,
600152,0.32,,,0.0097
600330,0.55,-49.9793,,0.0361
600186,3.1,129.5991,,0.0282
600545,-1.05,,,
600426,3.55,45.7127,,0.5353
600502,2.44,-9.1834,,0.2313
600869,0.53,-88.2699,,0.0069
600791,-7.92,,,
600666,-1.54,,,
601133,1.97,37.7719,,0.1065
603118,0.12,-96.9032,,0.0029
