date,close,predict,prob_up,real,correct,ret,equity
2024-10-25,28.76,跌↓,52.0,涨↑,✗,+1.32%,0.8762
2024-10-28,29.14,跌↓,46.7,涨↑,✗,+3.67%,0.8762
2024-10-29,30.21,跌↓,44.1,涨↑,✗,+7.08%,0.8762
2024-10-30,32.35,跌↓,51.0,跌↓,✓,-3.00%,0.8762
2024-10-31,31.38,涨↑,52.7,跌↓,✗,-4.72%,0.8349
2024-11-01,29.9,跌↓,50.2,涨↑,✗,+2.34%,0.8349
2024-11-04,30.6,跌↓,40.6,涨↑,✗,+0.13%,0.8349
2024-11-05,30.64,跌↓,46.5,涨↑,✗,+0.20%,0.8349
2024-11-06,30.7,跌↓,39.9,涨↑,✗,+3.58%,0.8349
2024-11-07,31.8,跌↓,34.8,跌↓,✓,-3.24%,0.8349
2024-11-08,30.77,跌↓,51.8,涨↑,✗,+0.26%,0.8349
2024-11-11,30.85,跌↓,38.0,涨↑,✗,+0.62%,0.8349
2024-11-12,31.04,跌↓,47.2,跌↓,✓,-1.64%,0.8349
2024-11-13,30.53,涨↑,55.8,跌↓,✗,-3.14%,0.8086
2024-11-14,29.57,跌↓,52.1,跌↓,✓,-2.33%,0.8086
2024-11-15,28.88,涨↑,59.5,跌↓,✗,-2.80%,0.7859
2024-11-18,28.07,涨↑,59.1,涨↑,✓,+0.50%,0.7899
2024-11-19,28.21,跌↓,49.3,涨↑,✗,+2.23%,0.7899
2024-11-20,28.84,跌↓,42.3,涨↑,✗,+0.52%,0.7899
2024-11-21,28.99,跌↓,45.3,跌↓,✓,-1.66%,0.7899
2024-11-22,28.51,涨↑,57.5,涨↑,✓,+2.07%,0.8062
2024-11-25,29.1,跌↓,43.2,跌↓,✓,-1.03%,0.8062
2024-11-26,28.8,涨↑,53.1,涨↑,✓,+0.14%,0.8073
2024-10-30,32.35,涨↑,52.5,跌↓,✗,-3.00%,0.7831
2024-10-31,31.38,涨↑,54.3,跌↓,✗,-4.72%,0.7462
2024-11-01,29.9,跌↓,45.5,涨↑,✗,+2.34%,0.7462
2024-11-04,30.6,跌↓,42.0,涨↑,✗,+0.13%,0.7462
2024-11-05,30.64,跌↓,50.5,涨↑,✗,+0.20%,0.7462
2024-11-06,30.7,跌↓,43.0,涨↑,✗,+3.58%,0.7462
2024-11-07,31.8,跌↓,33.5,跌↓,✓,-3.24%,0.7462
2024-11-08,30.77,跌↓,49.1,涨↑,✗,+0.26%,0.7462
2024-11-11,30.85,跌↓,40.6,涨↑,✗,+0.62%,0.7462
2024-11-12,31.04,跌↓,50.3,跌↓,✓,-1.64%,0.7462
2024-11-13,30.53,涨↑,56.4,跌↓,✗,-3.14%,0.7227
2024-11-14,29.57,涨↑,56.0,跌↓,✗,-2.33%,0.7059
2024-11-15,28.88,涨↑,61.6,跌↓,✗,-2.80%,0.6861
2024-11-18,28.07,涨↑,61.8,涨↑,✓,+0.50%,0.6895
2024-11-19,28.21,涨↑,56.5,涨↑,✓,+2.23%,0.7049
2024-11-20,28.84,跌↓,46.8,涨↑,✗,+0.52%,0.7049
2024-11-21,28.99,跌↓,46.5,跌↓,✓,-1.66%,0.7049
2024-11-22,28.51,涨↑,55.5,涨↑,✓,+2.07%,0.7195
2024-11-25,29.1,跌↓,46.4,跌↓,✓,-1.03%,0.7195
2024-11-26,28.8,涨↑,56.1,涨↑,✓,+0.14%,0.7205
2024-11-27,28.84,涨↑,51.5,涨↑,✓,+0.55%,0.7245
2024-11-28,29.0,涨↑,58.2,涨↑,✓,+0.55%,0.7285
2024-11-29,29.16,涨↑,51.3,涨↑,✓,+1.92%,0.7425
2024-12-02,29.72,跌↓,46.2,涨↑,✗,+0.44%,0.7425
2024-12-03,29.85,涨↑,54.5,跌↓,✗,-1.91%,0.7283
2024-12-04,29.28,涨↑,53.4,跌↓,✗,-1.02%,0.7208
2024-12-05,28.98,跌↓,48.7,涨↑,✗,+0.07%,0.7208
2024-12-06,29.0,涨↑,54.0,跌↓,✗,-0.28%,0.7188
2024-12-09,28.92,跌↓,47.6,涨↑,✗,+0.80%,0.7188
2024-12-10,29.15,跌↓,46.2,涨↑,✗,+2.57%,0.7188
2024-11-13,30.53,涨↑,60.7,跌↓,✗,-3.14%,0.6962
2024-11-14,29.57,涨↑,61.4,跌↓,✗,-2.33%,0.68
2024-11-15,28.88,涨↑,64.4,跌↓,✗,-2.80%,0.6609
2024-11-18,28.07,涨↑,65.8,涨↑,✓,+0.50%,0.6642
2024-11-19,28.21,涨↑,59.4,涨↑,✓,+2.23%,0.679
2024-11-20,28.84,跌↓,48.7,涨↑,✗,+0.52%,0.679
2024-11-21,28.99,跌↓,48.7,跌↓,✓,-1.66%,0.679
2024-11-22,28.51,涨↑,58.7,涨↑,✓,+2.07%,0.6931
2024-11-25,29.1,跌↓,46.7,跌↓,✓,-1.03%,0.6931
2024-11-26,28.8,涨↑,60.4,涨↑,✓,+0.14%,0.6941
2024-11-27,28.84,跌↓,49.2,涨↑,✗,+0.55%,0.6941
2024-11-28,29.0,涨↑,52.5,涨↑,✓,+0.55%,0.6979
2024-11-29,29.16,跌↓,45.7,涨↑,✗,+1.92%,0.6979
2024-12-02,29.72,跌↓,44.6,涨↑,✗,+0.44%,0.6979
2024-12-03,29.85,涨↑,51.4,跌↓,✗,-1.91%,0.6846
2024-12-04,29.28,涨↑,55.5,跌↓,✗,-1.02%,0.6775
2024-12-05,28.98,涨↑,52.9,涨↑,✓,+0.07%,0.678
2024-12-06,29.0,涨↑,56.6,跌↓,✗,-0.28%,0.6761
2024-12-09,28.92,涨↑,52.6,涨↑,✓,+0.80%,0.6815
2024-12-10,29.15,跌↓,48.1,涨↑,✗,+2.57%,0.6815
2024-12-11,29.9,跌↓,49.3,涨↑,✗,+1.67%,0.6815
2024-12-12,30.4,涨↑,53.2,跌↓,✗,-3.42%,0.6582
2024-12-13,29.36,涨↑,63.0,涨↑,✓,+0.14%,0.6591
2024-12-16,29.4,涨↑,60.6,跌↓,✗,-1.12%,0.6517
2024-12-17,29.07,涨↑,65.3,跌↓,✗,-0.07%,0.6512
2024-12-18,29.05,涨↑,59.1,涨↑,✓,+0.10%,0.6519
2024-12-19,29.08,涨↑,52.4,涨↑,✓,+1.65%,0.6627
2024-12-20,29.56,跌↓,46.6,跌↓,✓,-3.89%,0.6627
2024-12-23,28.41,涨↑,62.3,跌↓,✗,-1.51%,0.6527
2024-12-24,27.98,涨↑,58.2,涨↑,✓,+1.07%,0.6597
2024-11-27,28.84,跌↓,48.5,涨↑,✗,+0.55%,0.6597
2024-11-28,29.0,跌↓,48.5,涨↑,✗,+0.55%,0.6597
2024-11-29,29.16,跌↓,43.9,涨↑,✗,+1.92%,0.6597
2024-12-02,29.72,跌↓,46.7,涨↑,✗,+0.44%,0.6597
2024-12-03,29.85,跌↓,51.0,跌↓,✓,-1.91%,0.6597
2024-12-04,29.28,涨↑,53.9,跌↓,✗,-1.02%,0.6529
2024-12-05,28.98,跌↓,45.1,涨↑,✗,+0.07%,0.6529
2024-12-06,29.0,涨↑,54.5,跌↓,✗,-0.28%,0.6511
2024-12-09,28.92,涨↑,52.1,涨↑,✓,+0.80%,0.6563
2024-12-10,29.15,跌↓,47.0,涨↑,✗,+2.57%,0.6563
2024-12-11,29.9,跌↓,47.6,涨↑,✗,+1.67%,0.6563
2024-12-12,30.4,跌↓,51.0,跌↓,✓,-3.42%,0.6563
2024-12-13,29.36,涨↑,62.0,涨↑,✓,+0.14%,0.6572
2024-12-16,29.4,涨↑,59.1,跌↓,✗,-1.12%,0.6498
2024-12-17,29.07,涨↑,62.1,跌↓,✗,-0.07%,0.6493
2024-12-18,29.05,涨↑,52.0,涨↑,✓,+0.10%,0.65
2024-12-19,29.08,跌↓,49.5,涨↑,✗,+1.65%,0.65
2024-12-20,29.56,跌↓,45.0,跌↓,✓,-3.89%,0.65
2024-12-23,28.41,涨↑,61.6,跌↓,✗,-1.51%,0.6402
2024-12-24,27.98,涨↑,58.8,涨↑,✓,+1.07%,0.647
2024-12-25,28.28,涨↑,55.8,跌↓,✗,-0.35%,0.6447
2024-12-26,28.18,涨↑,58.8,涨↑,✓,+1.63%,0.6553
2024-12-27,28.64,跌↓,44.4,跌↓,✓,-1.50%,0.6553
2024-12-30,28.21,涨↑,54.0,跌↓,✗,-1.81%,0.6434
2024-12-31,27.7,涨↑,54.2,跌↓,✗,-1.73%,0.6323
2025-01-02,27.22,涨↑,59.0,跌↓,✗,-1.32%,0.6239
2025-01-03,26.86,涨↑,63.8,涨↑,✓,+1.68%,0.6344
2025-01-06,27.31,跌↓,48.9,跌↓,✓,-0.62%,0.6344
2025-01-07,27.14,跌↓,49.1,跌↓,✓,-0.66%,0.6344
2025-01-08,26.96,跌↓,50.5,跌↓,✓,-0.37%,0.6344
2024-12-11,29.9,跌↓,46.9,涨↑,✗,+1.67%,0.6344
2024-12-12,30.4,跌↓,46.2,跌↓,✓,-3.42%,0.6344
2024-12-13,29.36,涨↑,62.6,涨↑,✓,+0.14%,0.6352
2024-12-16,29.4,涨↑,59.2,跌↓,✗,-1.12%,0.6281
2024-12-17,29.07,涨↑,64.7,跌↓,✗,-0.07%,0.6277
2024-12-18,29.05,涨↑,54.3,涨↑,✓,+0.10%,0.6283
2024-12-19,29.08,涨↑,54.8,涨↑,✓,+1.65%,0.6387
2024-12-20,29.56,跌↓,48.6,跌↓,✓,-3.89%,0.6387
2024-12-23,28.41,涨↑,64.9,跌↓,✗,-1.51%,0.629
2024-12-24,27.98,涨↑,59.8,涨↑,✓,+1.07%,0.6358
2024-12-25,28.28,涨↑,55.8,跌↓,✗,-0.35%,0.6335
2024-12-26,28.18,涨↑,62.1,涨↑,✓,+1.63%,0.6439
2024-12-27,28.64,跌↓,50.1,跌↓,✓,-1.50%,0.6439
2024-12-30,28.21,涨↑,60.2,跌↓,✗,-1.81%,0.6322
