date,close,predict,real,correct,ret,equity
2025-12-19,1410.0,涨↑,跌↓,✗,-0.12%,1.0056
2025-12-22,1408.26,涨↑,跌↓,✗,-0.03%,1.0053
2025-12-23,1407.86,跌↓,跌↓,✓,-0.49%,1.0053
2025-12-24,1400.9,跌↓,涨↑,✗,+0.95%,1.0053
2025-12-25,1414.17,跌↓,跌↓,✓,-0.00%,1.0053
2025-12-26,1414.13,涨↑,跌↓,✗,-0.86%,0.9967
2025-12-29,1402.0,涨↑,跌↓,✗,-0.88%,0.9879
2025-12-30,1389.72,涨↑,跌↓,✗,-0.90%,0.979
2025-12-31,1377.18,涨↑,涨↑,✓,+3.54%,1.0137
2026-01-05,1426.0,涨↑,涨↑,✓,+0.14%,1.0152
2026-01-06,1428.01,涨↑,跌↓,✗,-0.33%,1.0119
2026-01-07,1423.36,涨↑,跌↓,✗,-0.78%,1.004
2026-01-08,1412.3,涨↑,涨↑,✓,+0.48%,1.0088
2026-01-09,1419.1,涨↑,涨↑,✓,+0.29%,1.0118
2026-01-12,1423.23,跌↓,跌↓,✓,-0.86%,1.0118
2026-01-13,1411.0,跌↓,跌↓,✓,-0.92%,1.0118
2026-01-14,1398.01,涨↑,跌↓,✗,-0.65%,1.0052
2026-01-15,1388.89,跌↓,跌↓,✓,-0.50%,1.0052
2026-01-16,1382.0,跌↓,跌↓,✓,-0.43%,1.0052
2026-01-19,1376.0,跌↓,跌↓,✓,-0.18%,1.0052
2026-01-20,1373.55,跌↓,跌↓,✓,-1.64%,1.0052
2026-01-21,1351.06,涨↑,跌↓,✗,-0.81%,0.997
2026-01-22,1340.06,跌↓,跌↓,✓,-0.23%,0.997
2026-01-23,1337.0,涨↑,涨↑,✓,+0.37%,1.0007
2026-01-26,1342.0,涨↑,涨↑,✓,+0.08%,1.0015
2026-01-27,1343.01,涨↑,跌↓,✗,-1.44%,0.9871
2026-01-28,1323.69,涨↑,涨↑,✓,+8.61%,1.0721
2026-01-29,1437.72,涨↑,跌↓,✗,-2.55%,1.0447
2026-01-30,1401.0,涨↑,涨↑,✓,+1.86%,1.0641
2026-02-02,1427.0,涨↑,涨↑,✓,+3.36%,1.0998
2026-02-03,1474.92,涨↑,涨↑,✓,+3.40%,1.1372
2026-02-04,1525.0,涨↑,涨↑,✓,+1.97%,1.1595
2026-02-05,1555.0,跌↓,跌↓,✓,-2.57%,1.1595
2026-02-06,1515.01,跌↓,涨↑,✗,+0.66%,1.1595
2026-02-09,1524.96,涨↑,跌↓,✗,-1.32%,1.1442
2026-02-10,1504.8,跌↓,跌↓,✓,-0.03%,1.1442
2026-02-11,1504.33,跌↓,跌↓,✓,-1.18%,1.1442
2026-02-12,1486.6,跌↓,跌↓,✓,-0.09%,1.1442
2026-02-13,1485.3,跌↓,跌↓,✓,-1.25%,1.1442
2026-02-24,1466.8,跌↓,涨↑,✗,+1.69%,1.1442
2026-02-25,1491.66,跌↓,跌↓,✓,-1.71%,1.1442
2026-02-26,1466.21,涨↑,跌↓,✗,-0.76%,1.1355
2026-02-27,1455.02,涨↑,跌↓,✗,-1.02%,1.1238
2026-03-02,1440.11,跌↓,跌↓,✓,-0.97%,1.1238
