代码,名称,数据日期,综合得分,回调深度,收盘价,MA5,MA10,MA20,MA60,RSI6,RSI14,MACD柱,KDJ_K,KDJ_D,KDJ_J,量/MA20量,近10日涨幅%,近20日涨幅%,ATR,BIAS5,详细理由
000039,中集集团,2026-04-13,5.5,深回调,11.82,11.62,11.24,11.27,11.2,88.6,68.7,0.0792,75.2,65.6,94.4,0.81,5.3,-3.7,0.53,1.7,小幅涨:近10日+5% | 回调至MA60(11.20) | MACD红柱(已启动) | 量能健康(0.8xMA20)
000652,泰达股份,2026-04-13,5.5,深回调,4.11,4.15,4.05,3.99,4.17,63.5,71.3,0.0331,69.0,69.6,67.8,0.77,4.6,0.0,0.14,-1.0,小幅涨:近10日+5% | 回调至MA60(4.17) | MACD红柱(已启动) | 量能健康(0.8xMA20)
000683,博源化工,2026-04-13,5.5,深回调,8.86,8.82,8.62,8.57,8.62,83.0,71.9,0.0427,74.5,68.9,85.6,0.71,3.1,-4.8,0.32,0.4,小幅涨:近10日+3% | 回调至MA60(8.62) | MACD红柱(已启动) | 量能健康(0.7xMA20)
000708,中信特钢,2026-04-13,5.5,深回调,17.0,16.73,16.61,16.41,16.34,69.0,70.5,0.0663,78.2,69.9,94.8,0.66,3.5,-2.2,0.47,1.6,小幅涨:近10日+4% | 回调至MA60(16.34) | MACD红柱(已启动) | 量能健康(0.7xMA20)
000931,中 关 村,2026-04-13,5.5,深回调,5.29,5.3,5.26,5.13,5.15,45.7,79.0,0.0255,63.6,71.3,48.1,0.92,3.5,1.9,0.17,-0.2,小幅涨:近10日+4% | 回调至MA60(5.15) | MACD红柱(已启动) | 量能健康(0.9xMA20)
000970,中科三环,2026-04-13,5.5,深回调,12.33,12.03,11.79,11.91,13.42,91.1,73.2,0.1483,81.6,70.2,104.2,0.91,5.1,-8.5,0.33,2.5,小幅涨:近10日+5% | 回调至MA60(13.42) | MACD红柱(已启动) | 量能健康(0.9xMA20)
001231,农心科技,2026-04-13,5.5,深回调,24.68,23.85,23.65,23.58,24.52,66.7,67.8,0.1486,71.8,66.6,82.2,2.71,5.5,-2.8,0.95,3.5,小幅涨:近10日+6% | 回调至MA60(24.52) | MACD红柱(已启动) | 量开始放大
002074,国轩高科,2026-04-13,5.5,深回调,39.5,36.51,35.94,36.68,37.88,81.8,60.5,0.3197,67.7,44.9,113.3,2.95,5.1,2.0,1.57,8.2,"小幅涨:近10日+5% | 回调至MA60(37.88) | MACD红柱(已启动) | RSI14=60(正常区) | KDJ金叉(K=68) | 量开始放大 | 偏离MA5过大,追高风险 | 突破MA5较多,追涨风险"
002099,海翔药业,2026-04-13,5.5,深回调,7.34,7.18,7.16,7.06,7.18,52.5,72.4,0.0371,76.4,68.7,91.9,0.9,2.4,-0.5,0.29,2.2,小幅涨:近10日+2% | 回调至MA60(7.18) | MACD红柱(已启动) | 量能健康(0.9xMA20)
002193,如意集团,2026-04-13,5.5,布林撑,6.65,6.27,6.08,6.14,6.26,82.4,66.1,0.0646,81.8,64.9,115.4,1.18,6.9,5.4,0.33,6.1,"上涨:近10日+7% | 布林下轨(5.56)获撑 | MACD红柱(已启动) | 量能健康(1.2xMA20) | 量开始放大 | 偏离MA5过大,追高风险"
002363,隆基机械,2026-04-13,5.5,深回调,8.43,8.16,8.05,8.07,8.91,65.0,66.1,0.098,70.4,59.3,92.7,3.32,5.8,-5.2,0.29,3.3,小幅涨:近10日+6% | 回调至MA60(8.91) | MACD红柱(已启动) | 量开始放大
002396,星网锐捷,2026-04-13,5.5,深回调,28.44,27.62,26.72,27.23,28.81,96.9,66.3,0.2621,79.0,64.4,108.2,0.8,5.3,-6.9,1.14,3.0,小幅涨:近10日+5% | 回调至MA60(28.81) | MACD红柱(已启动) | 量能健康(0.8xMA20)
002420,毅昌科技,2026-04-13,5.5,深回调,7.68,7.58,7.41,7.45,7.9,72.5,71.0,0.0685,78.0,71.6,90.9,0.93,5.3,-3.5,0.26,1.3,小幅涨:近10日+5% | 回调至MA60(7.90) | MACD红柱(已启动) | 量能健康(0.9xMA20)
002476,宝莫股份,2026-04-13,5.5,深回调,6.15,6.04,5.91,5.87,6.41,72.9,71.2,0.0673,82.3,74.4,98.1,1.01,5.9,-0.2,0.19,1.8,小幅涨:近10日+6% | 回调至MA60(6.41) | MACD红柱(已启动) | 量能健康(1.0xMA20)
002522,浙江众成,2026-04-13,5.5,深回调,5.98,5.97,5.84,5.77,5.95,62.4,74.7,0.0469,76.7,73.2,83.9,0.72,4.7,-3.1,0.26,0.1,小幅涨:近10日+5% | 回调至MA60(5.95) | MACD红柱(已启动) | 量能健康(0.7xMA20)
000823,超声电子,2026-04-13,5.0,深回调,15.21,14.13,13.5,14.04,14.6,97.0,66.9,0.2026,74.0,53.3,115.5,1.26,15.1,-4.0,0.69,7.6,"上涨:近10日+15% | 回调至MA60(14.60) | MACD红柱(已启动) | 量能健康(1.3xMA20) | 量开始放大 | 偏离MA5过大,追高风险"
002552,宝鼎科技,2026-04-13,5.0,深回调,19.28,17.89,17.01,16.92,18.73,93.0,79.1,0.4055,85.1,72.4,110.5,1.76,21.3,2.0,0.81,7.8,"上涨:近10日+21% | 回调至MA60(18.73) | MACD红柱(已启动) | 量能健康(1.8xMA20) | 量开始放大 | 偏离MA5过大,追高风险"
