板块,代码,名称,现价,涨跌%,成交额(亿),换手%,板块总成交额(亿)
光学光电子,600666,奥瑞德,7.78,+1.90%,31.524,20.63,412.4
光学光电子,002222,福晶科技,5.03,+1.08%,28.116,7.01,412.4
光学光电子,002273,水晶光电,5.92,+1.31%,26.739,6.41,412.4
光学光电子,688195,腾景科技,6.91,+0.83%,24.680,5.92,412.4
软件开发,300033,同花顺,6.86,+2.78%,42.152,4.1,410.7
软件开发,002261,拓维信息,3.05,+0.56%,23.939,5.81,410.7
软件开发,300803,指南针,4.61,+0.96%,23.030,3.71,410.7
软件开发,600602,云赛智联,4.4,+1.33%,21.096,8.11,410.7
软件开发,300209,行云科技,10.31,+8.32%,17.962,19.69,410.7
自动化设备,000988,华工科技,8.92,+7.97%,134.517,11.12,395.5
自动化设备,300757,罗博特科,4.71,+0.24%,29.587,4.01,395.5
自动化设备,002008,大族激光,2.36,-1.01%,24.751,3.41,395.5
自动化设备,300124,汇川技术,1.91,-0.75%,14.322,0.89,395.5
自动化设备,301312,智立方,12.02,+7.65%,14.175,18.84,395.5
化学制品,600309,万华化学,5.39,+3.51%,38.040,1.34,390.6
化学制品,002497,雅化集团,6.95,+8.02%,23.063,8.42,390.6
化学制品,002407,多氟多,4.07,+1.45%,22.798,7.38,390.6
化学制品,002001,新 和 成,6.83,+4.59%,18.871,1.65,390.6
化学制品,300821,东岳硅材,7.94,+4.31%,15.032,9.04,390.6
能源金属,002460,赣锋锂业,3.92,+0.48%,85.464,8.34,354.8
能源金属,603799,华友钴业,3.53,+1.63%,47.754,4.08,354.8
能源金属,002466,天齐锂业,5.1,+4.12%,47.182,5.21,354.8
能源金属,002738,中矿资源,6.21,+6.64%,40.937,7.08,354.8
能源金属,002192,融捷股份,9.64,+7.04%,36.392,18.39,354.8
计算机设备,000977,浪潮信息,6.49,+1.24%,72.277,7.2,345.7
计算机设备,603019,中科曙光,6.91,+4.33%,62.232,4.79,345.7
计算机设备,002415,海康威视,3.94,+2.96%,20.684,0.71,345.7
计算机设备,300042,朗科科技,6.84,+5.32%,19.235,19.94,345.7
计算机设备,000066,中国长城,3.59,+2.19%,14.990,3.0,345.7
建筑装饰,603601,再升科技,6.61,+3.08%,22.622,14.5,333.0
建筑装饰,001267,汇绿生态,4.05,-2.51%,18.454,7.06,333.0
建筑装饰,601868,中国能建,2.46,+0.70%,14.857,1.61,333.0
